IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.186.227,443,443,true,HKG,Asia Pacific,Hong Kong,120,9.79
132.226.9.173,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,9.79
138.3.220.4,8880,8880,false,HKG,Asia Pacific,Hong Kong,186,9.77
158.179.188.175,2082,2082,false,NRT,Asia Pacific,Tokyo,134,9.77
151.145.69.105,2086,2086,false,HKG,Asia Pacific,Hong Kong,185,9.76
141.147.169.195,8880,8880,false,NRT,Asia Pacific,Tokyo,78,9.76
150.230.146.194,443,443,true,FRA,Europe,Frankfurt,196,9.76
89.168.101.198,443,443,true,FRA,Europe,Frankfurt,183,9.75
151.145.71.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,140,9.74
144.21.48.9,443,443,true,FRA,Europe,Frankfurt,175,9.74
144.24.182.174,443,443,true,FRA,Europe,Frankfurt,165,9.74
152.70.63.44,443,443,true,SIN,Asia Pacific,Singapore,189,9.72
138.3.212.162,2086,2086,false,HKG,Asia Pacific,Hong Kong,195,9.72
141.147.178.202,8080,8080,false,HKG,Asia Pacific,Hong Kong,140,9.72
132.145.125.165,8080,8080,false,NRT,Asia Pacific,Tokyo,133,9.71
141.148.235.229,443,443,true,FRA,Europe,Frankfurt,170,9.71
138.3.212.162,2083,2083,true,HKG,Asia Pacific,Hong Kong,140,9.71
138.3.217.39,2052,2052,false,HKG,Asia Pacific,Hong Kong,144,9.70
158.101.133.129,2087,2087,true,NRT,Asia Pacific,Tokyo,185,9.70
151.145.71.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,142,9.69
141.148.243.9,443,443,true,FRA,Europe,Frankfurt,222,9.67
158.101.154.70,80,80,false,SIN,Asia Pacific,Singapore,150,9.66
144.21.43.75,443,443,true,FRA,Europe,Frankfurt,176,9.66
158.101.136.239,2053,2053,true,SIN,Asia Pacific,Singapore,161,9.66
158.101.149.81,2087,2087,true,NRT,Asia Pacific,Tokyo,75,9.65
158.180.61.64,443,443,true,FRA,Europe,Frankfurt,174,9.65
141.147.169.131,2052,2052,false,NRT,Asia Pacific,Tokyo,134,9.65
141.148.231.223,443,443,true,FRA,Europe,Frankfurt,201,9.64
138.3.223.70,2087,2087,true,NRT,Asia Pacific,Tokyo,131,9.63
138.3.212.226,2095,2095,false,HKG,Asia Pacific,Hong Kong,192,9.63
141.144.200.163,443,443,true,FRA,Europe,Frankfurt,171,9.63
143.47.229.239,443,443,true,FRA,Europe,Frankfurt,172,9.62
141.147.22.4,443,443,true,FRA,Europe,Frankfurt,182,9.62
158.101.159.212,8880,8880,false,NRT,Asia Pacific,Tokyo,134,9.60
158.101.155.158,2083,2083,true,HKG,Asia Pacific,Hong Kong,144,9.60
158.180.44.176,443,443,true,FRA,Europe,Frankfurt,176,9.59
151.145.75.28,2082,2082,false,NRT,Asia Pacific,Tokyo,122,9.58
151.145.68.166,80,80,false,HKG,Asia Pacific,Hong Kong,142,9.58
143.47.180.33,443,443,true,FRA,Europe,Frankfurt,172,9.57
158.101.155.158,2053,2053,true,HKG,Asia Pacific,Hong Kong,147,9.57
138.3.217.39,80,80,false,HKG,Asia Pacific,Hong Kong,188,9.56
141.147.179.64,2082,2082,false,NRT,Asia Pacific,Tokyo,78,9.54
144.21.39.64,443,443,true,FRA,Europe,Frankfurt,174,9.53
144.24.182.11,443,443,true,FRA,Europe,Frankfurt,172,9.53
141.147.183.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,142,9.52
158.101.148.221,2086,2086,false,HKG,Asia Pacific,Hong Kong,134,9.52
141.147.167.44,2086,2086,false,NRT,Asia Pacific,Tokyo,121,9.51
138.3.220.4,8443,8443,true,HKG,Asia Pacific,Hong Kong,146,9.49
144.21.33.90,443,443,true,FRA,Europe,Frankfurt,178,9.49
158.179.188.7,2083,2083,true,HKG,Asia Pacific,Hong Kong,226,9.49
141.147.168.159,8880,8880,false,HKG,Asia Pacific,Hong Kong,188,9.48
158.101.155.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,164,9.46
158.178.159.98,443,443,true,FRA,Europe,Frankfurt,179,9.46
158.101.137.96,8880,8880,false,NRT,Asia Pacific,Tokyo,137,9.45
132.145.122.95,2052,2052,false,NRT,Asia Pacific,Tokyo,127,9.45
158.179.186.234,8080,8080,false,HKG,Asia Pacific,Hong Kong,143,9.45
141.148.236.234,443,443,true,FRA,Europe,Frankfurt,175,9.44
138.3.215.11,2082,2082,false,HKG,Asia Pacific,Hong Kong,179,9.44
132.145.124.198,80,80,false,HKG,Asia Pacific,Hong Kong,143,9.44
150.230.116.142,443,443,true,FRA,Europe,Frankfurt,186,9.43
143.47.183.154,443,443,true,FRA,Europe,Frankfurt,171,9.40
158.101.155.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,151,9.39
141.147.178.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,143,9.39
151.145.71.40,2087,2087,true,NRT,Asia Pacific,Tokyo,81,9.39
130.162.215.200,443,443,true,FRA,Europe,Frankfurt,197,9.36
151.145.65.8,2096,2096,true,NRT,Asia Pacific,Tokyo,79,9.35
138.3.208.9,80,80,false,HKG,Asia Pacific,Hong Kong,170,9.35
141.147.178.135,2052,2052,false,HKG,Asia Pacific,Hong Kong,184,9.35
168.138.198.202,2096,2096,true,NRT,Asia Pacific,Tokyo,78,9.35
141.147.45.195,2052,443,true,AMS,Europe,Amsterdam,189,9.34
150.230.126.232,443,443,true,FRA,Europe,Frankfurt,184,9.32
158.101.143.49,2096,2096,true,NRT,Asia Pacific,Tokyo,75,9.31
141.147.174.190,2053,2053,true,HKG,Asia Pacific,Hong Kong,210,9.31
140.238.44.27,443,443,true,NRT,Asia Pacific,Tokyo,73,9.30
158.101.150.74,80,80,false,HKG,Asia Pacific,Hong Kong,143,9.29
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,208,9.29
132.145.123.143,80,80,false,HKG,Asia Pacific,Hong Kong,188,9.29
138.3.214.43,2095,2095,false,HKG,Asia Pacific,Hong Kong,198,9.28
